run_id,model,parameters,preprocessing,feature_groups,fold_scores,cv_rmse,cv_std,duration_seconds,status,error
20260823T101022Z,linear_regression,{},linear,"[""all""]","[0.15010259835762008, 0.11785293167578319, 0.21138732593686407, 0.14766500798899043, 0.19062473462542032]",0.1635265197169356,0.0332951524602537,0.4170979999998963,success,
20260823T101022Z,ridge,"{""alpha"": 1.0}",linear,"[""all""]","[0.12942399057001536, 0.1207146782292434, 0.19579271702134562, 0.1251645563861985, 0.1085552832968599]",0.1359302451007325,0.0307332033961549,0.1689297080001779,success,
20260823T101022Z,ridge,"{""alpha"": 10.0}",linear,"[""all""]","[0.13129218522436611, 0.1173865862679686, 0.19492867631904262, 0.12321216486274829, 0.10249859038665904]",0.1338636406121569,0.0319507890351528,0.1516983750007057,success,
20260823T101022Z,ridge,"{""alpha"": 30.0}",linear,"[""all""]","[0.13174906480334386, 0.11506184725153772, 0.2016788437919976, 0.12237374147588755, 0.1021701661820057]",0.1346067327009545,0.0349016154958587,0.1622618330002296,success,
20260823T101022Z,lasso,"{""alpha"": 0.0005, ""max_iter"": 10000}",linear,"[""all""]","[0.1271886081676675, 0.11648036641830321, 0.20330947472618935, 0.11782077501237925, 0.10084638544879743]",0.1331291219546673,0.0360950778985482,0.6751689160000751,success,
20260823T101022Z,lasso,"{""alpha"": 0.001, ""max_iter"": 10000}",linear,"[""all""]","[0.13262943492709323, 0.11437702728264201, 0.20803818797630133, 0.1182210034920723, 0.10436788628423982]",0.1355267079924697,0.037373727385127,0.3153807079997932,success,
20260823T101022Z,elastic_net,"{""alpha"": 0.0005, ""l1_ratio"": 0.3, ""max_iter"": 10000}",linear,"[""all""]","[0.12579326846240943, 0.11764075676078314, 0.19642752747436745, 0.12181269117767338, 0.10288340091098283]",0.1329115289572432,0.0326895116439375,1.2884932080005456,success,
20260823T101022Z,elastic_net,"{""alpha"": 0.0005, ""l1_ratio"": 0.7, ""max_iter"": 10000}",linear,"[""all""]","[0.12472340640294687, 0.11657096302432696, 0.20012373207120127, 0.11884305340631983, 0.10039382246631792]",0.1321309954742225,0.0349394240667198,0.779313916999854,success,
20260823T101022Z,knn,"{""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",knn,"[""all""]","[0.17108274558329667, 0.17368312094332025, 0.17327100939364642, 0.17079719470762358, 0.1440637939646399]",0.1665795729185053,0.0113160321327398,0.2418461249999381,success,
20260823T101022Z,knn,"{""n_neighbors"": 10, ""p"": 2, ""weights"": ""distance""}",knn,"[""all""]","[0.1717257203344062, 0.15467397899473764, 0.1641002631965715, 0.1708970469595482, 0.1352567558376583]",0.1593307530645843,0.0135011516709012,0.1379743339994092,success,
20260823T101022Z,decision_tree,"{""max_depth"": 5, ""min_samples_leaf"": 1}",tree,"[""all""]","[0.17257494770694423, 0.17197965619141706, 0.22037366286155066, 0.18787398430726715, 0.1779016192670084]",0.1861407740668375,0.0180407719851042,0.150123166999947,success,
20260823T101022Z,decision_tree,"{""max_depth"": 5, ""min_samples_leaf"": 3}",tree,"[""all""]","[0.17238955620473073, 0.16897119688977347, 0.22510311061661478, 0.18789233499862532, 0.17245356364745767]",0.1853619524714404,0.0209252427556922,0.1411369999996168,success,
20260823T101022Z,decision_tree,"{""max_depth"": 10, ""min_samples_leaf"": 1}",tree,"[""all""]","[0.18617860379375628, 0.18633691403030891, 0.21655412764880036, 0.2082322490902506, 0.2129569489350202]",0.2020517686996272,0.013163234635322,0.2012011669994535,success,
20260823T101022Z,decision_tree,"{""max_depth"": 10, ""min_samples_leaf"": 3}",tree,"[""all""]","[0.17411670237933452, 0.18383929392621465, 0.2171838443916421, 0.20355985682120772, 0.18952717986987971]",0.1936453754776557,0.0151449285410321,0.1883964579992607,success,
20260823T101022Z,decision_tree,"{""max_depth"": null, ""min_samples_leaf"": 1}",tree,"[""all""]","[0.18592229970194574, 0.1913844321743861, 0.21715971568034223, 0.19824374882181264, 0.20615126826921074]",0.1997722929295395,0.0110229647902981,0.2369585409996943,success,
20260823T101022Z,decision_tree,"{""max_depth"": null, ""min_samples_leaf"": 3}",tree,"[""all""]","[0.1750596776341483, 0.18726321683730546, 0.21828857252345665, 0.20529413910175523, 0.1898803195485762]",0.1951571851290483,0.0150458550563797,0.1960258330000215,success,
